k Nrep i_ave squared_error_HSgb_G
3 100000 56 0.00040674896
3 100000 57 0.00047210660
3 100000 58 0.00053680632
3 100000 59 0.00036638166
3 100000 60 0.00037256161
3 100000 61 0.00052633697
3 100000 62 0.00032336166
3 100000 63 0.00049230426
3 100000 64 0.00031030453
3 100000 65 0.00034512453
3 100000 66 0.00066576634
3 100000 67 0.00039280706
3 100000 68 0.00042024794
3 100000 69 0.00039225472
3 100000 70 0.00036695529
3 100000 71 0.00038692247
3 100000 72 0.00060361936
3 100000 73 0.00050170900
3 100000 74 0.00042213249
3 100000 75 0.00031403774
3 100000 76 0.00041806767
3 100000 77 0.00041077674
3 100000 78 0.00047296501
3 100000 79 0.00031649078
3 100000 80 0.00031240006
3 100000 81 0.00040963421
3 100000 82 0.00045222469
3 100000 83 0.00031070768
3 100000 84 0.00059877401
3 100000 85 0.00031497845
3 100000 86 0.00033969544
3 100000 87 0.00035868346
3 100000 88 0.00039518851
3 100000 89 0.00039278667
3 100000 90 0.00032341770
3 100000 91 0.00048108415
3 100000 92 0.00038473877
3 100000 93 0.00034729215
3 100000 94 0.00035897477
3 100000 95 0.00049944245
3 100000 96 0.00037417688
3 100000 97 0.00032092229
3 100000 98 0.00051666718
3 100000 99 0.00040847564
3 100000 100 0.00031445224
5 100 1 0.01035899400
5 100 2 0.01025253682
5 100 3 0.01440387583
5 100 4 0.02441038269
5 100 5 0.01409699535
5 100 6 0.01138952418
5 100 7 0.00268330812
5 100 8 0.00769263374
5 100 9 0.00584204676
5 100 10 0.00837047704
5 100 11 0.01168661504
5 100 12 0.01776572544
5 100 13 0.01054163705
5 100 14 0.01443367276
5 100 15 0.01114191445
5 100 16 0.00627123477
5 100 17 0.00558524121
5 100 18 0.02328258503
5 100 19 0.00430817751
5 100 20 0.01992752455
5 100 21 0.04292438918
5 100 22 0.01980182952
5 100 23 0.01073375928
5 100 24 0.00756269559
5 100 25 0.02659208672
5 100 26 0.00918281642
5 100 27 0.01153784504
5 100 28 0.01813408488
5 100 29 0.00872505720
5 100 30 0.02965351107
5 100 31 0.02811696882
5 100 32 0.01777173227
5 100 33 0.00917213771
5 100 34 0.02014955041
5 100 35 0.00794285578
5 100 36 0.01799881776
5 100 37 0.01168508509
5 100 38 0.00705707052
5 100 39 0.03201276415
5 100 40 0.01720094885
5 100 41 0.00444976947
5 100 42 0.00406322151
5 100 43 0.01296741583
5 100 44 0.00814112939
5 100 45 0.01437692237
5 100 46 0.00948702035
5 100 47 0.00516446732
5 100 48 0.06848603282
5 100 49 0.00655212840
5 100 50 0.00217791543
5 100 51 0.01274326090
5 100 52 0.02360450411
5 100 53 0.01249385526
5 100 54 0.01057329522
5 100 55 0.00211228659
5 100 56 0.00661556466
5 100 57 0.00856653881
5 100 58 0.00721823168
5 100 59 0.01974754078
5 100 60 0.00399784056
5 100 61 0.00247136463
5 100 62 0.00880722437
5 100 63 0.00229555600
5 100 64 0.02373295114
5 100 65 0.01007137287
5 100 66 0.01744771037
5 100 67 0.00460519687
5 100 68 0.01341289872
5 100 69 0.04937652053
5 100 70 0.01418214713
5 100 71 0.03320256251
5 100 72 0.00369446524
5 100 73 0.01207269783
5 100 74 0.00526363316
5 100 75 0.01947334140
5 100 76 0.00500757893
5 100 77 0.00823972179
5 100 78 0.05594775288
5 100 79 0.02319483252
5 100 80 0.01578068096
5 100 81 0.00623059600
5 100 82 0.00821639288
5 100 83 0.00840242019
5 100 84 0.00770365803
5 100 85 0.00828866637
5 100 86 0.00465536724
5 100 87 0.00570675265
5 100 88 0.02727098133
5 100 89 0.00556063697
5 100 90 0.01003291256
5 100 91 0.00666189126
5 100 92 0.01679727921
5 100 93 0.01111184127
5 100 94 0.00537247046
5 100 95 0.01239371323
5 100 96 0.02110731650
5 100 97 0.01723840581
5 100 98 0.01315069907
5 100 99 0.03014171579
5 100 100 0.01034355823
5 1000 1 0.00311194079
5 1000 2 0.00460001654
5 1000 3 0.00114849017
5 1000 4 0.00300448980
5 1000 5 0.00097161974
5 1000 6 0.00068282281
5 1000 7 0.00188497331
5 1000 8 0.00255856922
5 1000 9 0.00292933605
5 1000 10 0.00142813642
5 1000 11 0.01250516210
5 1000 12 0.00124091962
5 1000 13 0.00218375068
5 1000 14 0.00055564797
5 1000 15 0.00127735844
5 1000 16 0.00144703485
5 1000 17 0.00594126761
5 1000 18 0.00047209443
5 1000 19 0.00181532443
5 1000 20 0.00192649546
5 1000 21 0.00063993517
5 1000 22 0.00092335312
5 1000 23 0.00509384709
5 1000 24 0.00238473843
5 1000 25 0.00425209007
5 1000 26 0.00319359820
5 1000 27 0.00399317273
5 1000 28 0.00101886704
5 1000 29 0.00030021561
5 1000 30 0.00548923964
5 1000 31 0.00184460065
5 1000 32 0.00259915067
